MOTION,ArithmeticGmw,Bmr,BooleanGmw
zi_add,,,
zi_and,x,,
zi_eq,,,
zi_ge,x,,
zi_gt,,,
zi_le,x,,
zi_lt,,,
zi_mul,,,
zi_sub,,,
zi_mux,x,,
zi_ne,,,
zi_or,x,,
zi_xor,x,,
zi_&,x,,
zi_|,x,,
zi_div,x,,
zi_not,x,,
ArithmeticGmw_BooleanGmw,,x,
ArithmeticGmw_Bmr,,,x
BooleanGmw_ArithmeticGmw,,x,
BooleanGmw_Bmr,x,,
Bmr_ArithmeticGmw,,,x
Bmr_BooleanGmw,x,,


MP-SPDZ_semi,A,B,X,Y
zi_add,,,,
zi_and,,,,
zi_eq,,,,
zi_ge,,,,
zi_gt,,,,
zi_le,,,,
zi_lt,,,,
zi_mul,,,,
zi_mux,,,,
zi_ne,,,,
zi_or,,,,
zi_sub,,,,
zi_xor,,,,
zi_&,x,,x,x
zi_div,,x,,
zi_not,,,,
semi_AB,,,x,x
semi_BA,,,x,x
semi_XB,x,,,x
semi_BX,x,,,x
semi_YB,x,,x,
semi_BY,x,,x,


